Wilayah,Arealist
,Kode Wilayah
Kab. Sumba Barat,241300
Prov. Papua,250000
Kab. Jaya Wijaya,250800
Kab. Nabire,250900
Kab. Waropen,252600
Kab. Supiori,252700
Kab. Memberamo Raya,252800
Kab. Nduga,252900
Kab. Mimika,251200
Kab. Boven Digoel,251300
Kab. Mappi,251400
kab. Puncak,253300
Kab. Jayapura,250100
Kab. Biak Numfor,250200
Kab. Tolikara,251800
Kab. Dogiyai,253400
Kab. Deiyai,253500
Kab. Intan Jaya,253600
Kota Jayapura,256000
Kab. Pegunungan Bintang,251700
Kab. Asmat,251500
Kab. Yahukimo,251600
Kab. Paniai,251000
Kab. Puncak Jaya,251100
Kab. Lanny Jaya,253000
Kab. Membramo Tengah,253100
Kab. Yalimo,253200
Kab. Kepulauan Yapen,250300
Kab. Merauke,250700
Kab. Sarmi,251900
Kab. Keerom,252000
Prov. Bengkulu,260000
Kab. Muko-muko,260400
Kab. Kepahiang,260500
Kab. Seluma,260800
Kab. Bengkulu Tengah,260900
Kab. Bengkulu Utara,260100
Kota Bengkulu,266000
Kab. Lebong,260600
Kab. Kaur,260700
Kab. Rejang Lebong,260200
Kab. Bengkulu Selatan,260300
Prov. Maluku Utara,270000
Kota Ternate,276000
Kota Tidore Kepulauan,276100
Kab. halmahera Utara,270400
Kab. Halmahera Selatan,270500
Kab. Pulau Taliabu,270100
Kab. Halmahera Tengah,270200
Kab. Halmahera Barat,270300
Kab. Halmahera Timur,270600
Kab. Kepulauan Sula,270700
Kab. Kepulauan Morotai,270800
Prov. Banten,280000
Kab. Pandeglang,280100
Kab. Tangerang,280300
Kab. Serang,280400
Kota Cilegon,286000
Kota Tangerang,286100
Kota Serang,286200
Kota Tangerang Selatan,286300
Kab. Lebak,280200
Prov. Kepulauan Bangka Belitung,290000
Kab. Bangka Barat,290400
Kab. Bangka Selatan,290500
Kab. Belitung Timur,290600
Kota Pangkalpinang,296000
Kab. Bangka,290100
Kab. Belitung,290200
Kab. Bangka Tengah,290300
Prov. Gorontalo,300000
Kab. Gorontalo Utara,300500
Kota Gorontalo,306000
Kab. Boalemo,300100
Kab. Gorontalo,300200
Kab. Pohuwato,300300
Kab. Bone Bolango,300400
Prov. Kepulauan Riau,310000
Kab. Bintan,310100
Kab. Karimun,310200
Kab. Natuna,310300
Kab. Lingga,310400
Kab. Kepulauan Anambas,310500
Kota Batam,316000
Kota Tanjungpinang,316100
Prov. Papua Barat,320000
Kab. Tambrauw,320900
Kab. Maybrat,321000
Kab. Pegunungan Arfak,321100
Kab. Kaimana,320200
Kab. Teluk Wondama,320300
Kab. Teluk Bintuni,320400
Kab. Sorong Selatan,320600
Kab. Sorong,320700
Kab. Manokwari,320500
Kab. Fak-Fak,320100
Kab. Manokwari Selatan,321200
Kota Sorong,326000
Kab. Raja Ampat,320800
Prov. Sulawesi Barat,330000
Kab. Polewali Mandar,330300
Kab. Mamasa,330400
Kab. Mamuju,330100
Kab. Pasangkayu,330200
Kab. Majene,330500
Kab. Mamuju Tengah,330600
Prov. Kalimantan Utara,340000
Kab. Nunukan,340500
Kota Tarakan,346000
Kab. Malinau,340100
Kab. Bulungan,340200
Kab. Tana Tidung,340300
